date,source,campaign,cost
2020-01-01,yandex_direct,gnrl|445275,130.08
2020-01-01,yandex_direct,gnrl|953233,117.67
2020-01-02,fb,gnrl|755263,64.42
2020-01-02,fb,lal|772023,197.11
2020-01-02,vk,lal|727027,153.02
2020-01-03,fb,gnrl|755263,81.89
2020-01-03,fb,lal|772023,244.17
2020-01-03,google_ads,lal|487809,171.17
2020-01-03,yandex_direct,gnrl|445275,1.55
2020-01-03,yandex_direct,gnrl|845242,185.26
2020-01-03,yandex_direct,gnrl|863656,284.56
2020-01-03,yandex_direct,gnrl|953233,73.38
2020-01-04,fb,gnrl|755263,150.02999999999997
2020-01-04,google_ads,lal|487809,158.1
2020-01-04,vk,lal|727027,130.45
2020-01-04,yandex_direct,gnrl|326308,122.33
2020-01-04,yandex_direct,gnrl|445275,185.76
2020-01-04,yandex_direct,gnrl|845242,158.99
2020-01-04,yandex_direct,gnrl|863656,107.07
2020-01-04,yandex_direct,gnrl|953233,101.98
2020-01-04,yandex_direct,ret|574813,297.74
2020-01-05,fb,gnrl|755263,77.13
2020-01-05,fb,lal|772023,133.09
2020-01-05,vk,lal|727027,107.05
2020-01-05,yandex_direct,gnrl|445275,268.71000000000004
2020-01-05,yandex_direct,gnrl|845242,238.1
2020-01-05,yandex_direct,ret|574813,185.78
2020-01-06,fb,gnrl|755263,57.02
2020-01-06,google_ads,lal|487809,160.4
2020-01-06,vk,lal|727027,509.72
2020-01-06,yandex_direct,gnrl|326308,256.51
2020-01-06,yandex_direct,gnrl|845242,256.72
2020-01-06,yandex_direct,gnrl|953233,110.62
2020-01-06,yandex_direct,ret|574813,190.45
2020-01-07,fb,gnrl|755263,162.39
2020-01-07,fb,lal|772023,414.54
2020-01-07,google_ads,lal|487809,499.78
2020-01-07,yandex_direct,gnrl|326308,115.81
2020-01-07,yandex_direct,gnrl|863656,68.62
2020-01-07,yandex_direct,gnrl|953233,33.83
2020-01-08,fb,gnrl|755263,272.03
2020-01-08,fb,lal|772023,71.46
2020-01-08,google_ads,lal|487809,106.41
2020-01-08,vk,lal|727027,632.68
2020-01-08,yandex_direct,gnrl|326308,237.19
2020-01-08,yandex_direct,gnrl|445275,228.68
2020-01-08,yandex_direct,gnrl|845242,244.98
2020-01-08,yandex_direct,gnrl|863656,237.3
2020-01-08,yandex_direct,gnrl|953233,227.46
2020-01-08,yandex_direct,ret|574813,504.41999999999996
2020-01-09,fb,lal|772023,254.45
2020-01-09,vk,lal|727027,109.15
2020-01-09,yandex_direct,gnrl|326308,440.67
2020-01-09,yandex_direct,gnrl|845242,181.01
2020-01-09,yandex_direct,gnrl|863656,405.34999999999997
2020-01-10,fb,gnrl|755263,72.91
2020-01-10,fb,lal|772023,218.81
2020-01-10,google_ads,lal|487809,613.78
2020-01-10,vk,lal|727027,212.23000000000002
2020-01-10,yandex_direct,gnrl|326308,246.74
2020-01-10,yandex_direct,gnrl|445275,167.03
2020-01-10,yandex_direct,gnrl|845242,514.44
2020-01-10,yandex_direct,gnrl|953233,165.19
2020-01-10,yandex_direct,ret|574813,250.88
2020-01-11,fb,lal|772023,568.07
2020-01-11,vk,lal|727027,147.03
2020-01-11,yandex_direct,gnrl|326308,165.05
2020-01-11,yandex_direct,gnrl|445275,682.53
2020-01-11,yandex_direct,gnrl|845242,234.69
2020-01-11,yandex_direct,gnrl|863656,104.4
2020-01-12,fb,gnrl|755263,265.03999999999996
2020-01-12,fb,lal|772023,217.8
2020-01-12,google_ads,lal|487809,854.9
2020-01-12,vk,lal|727027,135.26
2020-01-12,yandex_direct,gnrl|326308,207.81
2020-01-12,yandex_direct,gnrl|445275,93.98
2020-01-12,yandex_direct,ret|574813,570.39
2020-01-13,fb,gnrl|755263,55.26
2020-01-13,vk,lal|727027,559.23
2020-01-13,yandex_direct,gnrl|326308,114.39999999999999
2020-01-13,yandex_direct,gnrl|445275,537.27
2020-01-13,yandex_direct,gnrl|845242,249.42
2020-01-13,yandex_direct,gnrl|863656,346.84
2020-01-13,yandex_direct,ret|574813,322.94
2020-01-14,fb,lal|772023,221.69
2020-01-14,google_ads,lal|487809,853.5099999999999
2020-01-14,vk,lal|727027,279.05
2020-01-14,yandex_direct,gnrl|326308,179.06
2020-01-14,yandex_direct,gnrl|445275,581.44
2020-01-14,yandex_direct,gnrl|845242,215.77
2020-01-14,yandex_direct,gnrl|863656,338.68
2020-01-14,yandex_direct,gnrl|953233,49.01
2020-01-14,yandex_direct,ret|574813,161.82
2020-01-15,fb,gnrl|755263,89.22
2020-01-15,fb,lal|772023,379.8
2020-01-15,google_ads,lal|487809,352.83
2020-01-15,vk,lal|727027,150.07
2020-01-15,yandex_direct,gnrl|326308,213.12
2020-01-15,yandex_direct,gnrl|445275,123.35
2020-01-15,yandex_direct,gnrl|845242,854.2700000000001
2020-01-15,yandex_direct,gnrl|863656,144.6
2020-01-15,yandex_direct,gnrl|953233,201.42
2020-01-15,yandex_direct,ret|574813,147.02
2020-01-16,fb,gnrl|755263,107.06
