"payment_id","user_id","created_at","payment_sum"
2,2,2019-12-09 16:57:19.000,42.26
4,4,2019-12-10 03:49:35.000,18.25
6,6,2019-12-12 00:19:08.000,10.52
7,7,2019-12-13 15:15:30.000,14.02
8,8,2019-12-14 00:02:06.000,10.78
10,10,2019-12-17 04:57:55.000,27.68
12,12,2019-12-18 23:50:11.000,12.71
15,15,2019-12-20 18:28:57.000,19.06
16,16,2019-12-21 19:10:52.000,17.82
17,17,2019-12-22 15:47:49.000,31.25
18,18,2019-12-22 23:40:03.000,24.62
20,20,2019-12-23 20:59:54.000,9.15
21,21,2019-12-25 01:02:03.000,29.17
22,22,2019-12-25 18:04:36.000,29.35
